GW_InkPickup	On the top-box you see the words, 'Kauldrige R. Special Cartridge Quillwells.' 	Sur la caisse du dessus, tu vois les mots : « Quillwells à Cartouches Spéciales Kauldrige R. ». 
GW_InkPickup	Yes. This is the ink Modissa asked for. 	Oui. C'est l'encre que Modissa a demandée. 
GW_InkPickup	(Open the box.) 	(Ouvrir la caisse.) 
GW_InkPickup	Inside you see a tightly stacked series of iron cartridges, each marked with a series of numbers. 	À l'intérieur, tu vois une série de cartouches en fer serrées les unes contre les autres, chacune marquée d'une suite de chiffres. 
GW_InkPickup	More importantly, there are three different colors of ink. 	Plus important encore, il y a trois couleurs d'encre différentes. 
GW_InkPickup	Uh oh. 	Oh-oh. 
GW_InkPickup	Red, yellow, and green Quillwell variants. 	Des variantes Quillwell rouge, jaune et verte. 
GW_InkPickup	Pick red, of course. 	Prends le rouge, évidemment. 
GW_InkPickup	Hah! Go with yellow, she'll hate it. 	Hah ! Pars sur le jaune, elle va détester. 
GW_InkPickup	If there was black, that would be the logical choice. However, since this shipment clearly does not contain any black ink, go with the green one. 	S'il y avait du noir, ce serait le choix logique. Mais comme cette livraison ne contient manifestement pas d'encre noire, va sur la verte. 
GW_InkPickup	It makes the most logical sense- being the Azgalists' colors. 	C'est ce qui a le plus de sens - ce sont les couleurs des Azgalistes. 
GW_InkPickup	Green. 	La verte. 
GW_InkPickup	Go with green. 	Pars sur la verte. 
GW_InkPickup	(Keep the green Quillwell.) 	(Garder la Quillwell verte.) 
GW_InkPickup	(Grab the red ink instead.) 	(Prendre l'encre rouge à la place.) 
GW_InkPickup	(Grab the yellow ink instead.) 	(Prendre l'encre jaune à la place.) 
GW_InkPickup	Wait... which one did she want? 	Attends... laquelle voulait-elle ? 
GW_InkPickup	You don't remember if she specified any color? 	Tu ne te souviens pas si elle a précisé une couleur ? 
GW_InkPickup	She did not specify. 	Elle n'a pas précisé. 
GW_InkPickup	Logically, she would want a black ink for the paper. 	Logiquement, elle voudrait de l'encre noire pour le papier. 
GW_InkPickup	But this crate seems to only contain color-ink. 	Mais cette caisse semble ne contenir que des encres de couleur. 
GW_InkPickup	Ah. So this is probably the reason why her 'vendor' didn't sell her the stuff, right? 	Ah. C'est probablement la raison pour laquelle son « fournisseur » ne lui a pas vendu le truc, non ? 
GW_InkPickup	They didn't have any black ink. Just color. 	Ils n'avaient pas d'encre noire. Que de la couleur. 
GW_InkPickup	Maybe it doesn't matter which one? 	Peut-être que peu importe laquelle ? 
GW_InkPickup	Would the color ink turn the paper into that color? 	Est-ce que l'encre de couleur transformerait le papier dans cette couleur ? 
GW_InkPickup	Guess I have to pick a color? 	J'imagine que je dois choisir une couleur ? 
GW_InkPickup	Of course it matters. Color is very important in the world of typography. 	Bien sûr que ça importe. La couleur est très importante dans le monde de la typographie. 
GW_InkPickup	Maybe not. 	Peut-être pas. 
GW_InkPickup	Mixed with their regular ink, it would turn the text into a faint color variety. 	Mélangée à leur encre habituelle, elle donnerait au texte une teinte légère. 
GW_InkPickup	It would be quite strange, but also unique. 	Ce serait assez étrange, mais aussi unique. 
GW_InkPickup	The text would. Potentially. 	Le texte, oui. Potentiellement. 
GW_InkPickup	Yes. You do. 	Oui. Tu en as une. 
GW_InkPickup	You grab one of the iron cartridges from the crate. 	Tu saisis l'une des cartouches en fer dans la caisse. 
GW_InkPickup	They are heavy. The rigid metal feels cold to the touch. 	Elles sont lourdes. Le métal rigide est froid au toucher. 
